"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","subclass","superorder","order","suborder","infraorder","hyporder","superfamily","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"UMZM",1,NA,NA,NA,NA,NA,NA,NA,"Acari",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subclass",NA,NA,NA,NA,NA,NA,NA,"Acari"
"UMZM",2,NA,NA,NA,NA,NA,NA,NA,"Acariformes",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"superorder",NA,NA,NA,NA,NA,NA,NA,"Acariformes"
"UMZM",3,NA,NA,NA,NA,NA,NA,NA,"Sarcoptiformes",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"order",NA,NA,NA,NA,NA,NA,NA,"Sarcoptiformes"
"UMZM",4,NA,NA,NA,NA,NA,NA,NA,"Knemidokoptidae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,NA,NA,NA,NA,NA,NA,"Knemidokoptidae"
"UMZM",5,NA,NA,NA,NA,NA,NA,NA,"Apocnemidocoptinae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Apocnemidocoptinae",NA,NA,NA,NA,NA,NA,"subfamily",NA,NA,NA,NA,NA,NA,NA,"Apocnemidocoptinae"
"UMZM",6,NA,NA,NA,NA,NA,NA,NA,"Apocnemidocoptes",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Apocnemidocoptinae",NA,NA,"Apocnemidocoptes",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Apocnemidocoptes"
"UMZM",8,NA,NA,NA,NA,NA,NA,NA,"Evansacarinae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Evansacarinae",NA,NA,NA,NA,NA,NA,"subfamily",NA,NA,NA,NA,NA,NA,NA,"Evansacarinae"
"UMZM",9,NA,NA,NA,NA,NA,NA,NA,"Evansacarus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Evansacarinae",NA,NA,"Evansacarus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Evansacarus"
"UMZM",12,NA,NA,NA,NA,NA,NA,NA,"Knemidokoptinae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Knemidokoptinae",NA,NA,NA,NA,NA,NA,"subfamily",NA,NA,NA,NA,NA,NA,NA,"Knemidokoptinae"
"UMZM",13,NA,NA,NA,NA,NA,NA,NA,"Knemidokoptes",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Knemidokoptinae",NA,NA,"Knemidokoptes",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Knemidokoptes"
"UMZM",19,NA,NA,NA,NA,NA,NA,NA,"Micnemidocoptes",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Knemidokoptinae",NA,NA,"Micnemidocoptes",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Micnemidocoptes"
