"id","order","family","genus","species","subspecies","taxonlevel","accid","canonical","source"
7,"Sarcoptiformes","Knemidokoptidae","Apocnemidocoptes","tragicola",NA,"species",0,"Apocnemidocoptes tragicola","TPT"
10,"Sarcoptiformes","Knemidokoptidae","Evansacarus","lari",NA,"species",0,"Evansacarus lari","TPT"
11,"Sarcoptiformes","Knemidokoptidae","Evansacarus","thraupicola",NA,"species",0,"Evansacarus thraupicola","TPT"
14,"Sarcoptiformes","Knemidokoptidae","Knemidokoptes","fossor",NA,"species",0,"Knemidokoptes fossor","TPT"
15,"Sarcoptiformes","Knemidokoptidae","Knemidokoptes","intermedius",NA,"species",0,"Knemidokoptes intermedius","TPT"
16,"Sarcoptiformes","Knemidokoptidae","Knemidokoptes","jamaicensis",NA,"species",0,"Knemidokoptes jamaicensis","TPT"
17,"Sarcoptiformes","Knemidokoptidae","Knemidokoptes","mutans",NA,"species",0,"Knemidokoptes mutans","TPT"
18,"Sarcoptiformes","Knemidokoptidae","Knemidokoptes","pilae",NA,"species",0,"Knemidokoptes pilae","TPT"
20,"Sarcoptiformes","Knemidokoptidae","Micnemidocoptes","derooi",NA,"species",0,"Micnemidocoptes derooi","TPT"
22,"Sarcoptiformes","Knemidokoptidae","Neocnemidocoptes","australiensis",NA,"species",0,"Neocnemidocoptes australiensis","TPT"
23,"Sarcoptiformes","Knemidokoptidae","Neocnemidocoptes","columbicola",NA,"species",0,"Neocnemidocoptes columbicola","TPT"
24,"Sarcoptiformes","Knemidokoptidae","Neocnemidocoptes","columbigallinae",NA,"species",0,"Neocnemidocoptes columbigallinae","TPT"
25,"Sarcoptiformes","Knemidokoptidae","Neocnemidocoptes","gallinae",NA,"species",0,"Neocnemidocoptes gallinae","TPT"
26,"Sarcoptiformes","Knemidokoptidae","Neocnemidocoptes","passeris",NA,"species",0,"Neocnemidocoptes passeris","TPT"
27,"Sarcoptiformes","Knemidokoptidae","Neocnemidocoptes","philetarius",NA,"species",0,"Neocnemidocoptes philetarius","TPT"
29,"Sarcoptiformes","Knemidokoptidae","Picicnemidocoptes","dryocopae",NA,"species",0,"Picicnemidocoptes dryocopae","TPT"
30,"Sarcoptiformes","Knemidokoptidae","Picicnemidocoptes","laevis",NA,"species",0,"Picicnemidocoptes laevis","TPT"
32,"Sarcoptiformes","Knemidokoptidae","Procnemidocoptes","janssensi",NA,"species",0,"Procnemidocoptes janssensi","TPT"
35,"Sarcoptiformes","Knemidokoptidae","Lukoschuscoptes","asiaticus",NA,"species",0,"Lukoschuscoptes asiaticus","TPT"
74,"Sarcoptiformes","Alloptidae","Alloptes","aethiae",NA,"species",0,"Alloptes aethiae","TPT"
75,"Sarcoptiformes","Alloptidae","Alloptes","aschizurus",NA,"species",0,"Alloptes aschizurus","TPT"
76,"Sarcoptiformes","Alloptidae","Alloptes","avosettae",NA,"species",0,"Alloptes avosettae","TPT"
77,"Sarcoptiformes","Alloptidae","Alloptes","calidridis",NA,"species",0,"Alloptes calidridis","TPT"
78,"Sarcoptiformes","Alloptidae","Alloptes","catharacti",NA,"species",0,"Alloptes catharacti","TPT"
79,"Sarcoptiformes","Alloptidae","Alloptes","cepphusi",NA,"species",0,"Alloptes cepphusi","TPT"
80,"Sarcoptiformes","Alloptidae","Alloptes","cerorhincae",NA,"species",0,"Alloptes cerorhincae","TPT"
81,"Sarcoptiformes","Alloptidae","Alloptes","chionis",NA,"species",0,"Alloptes chionis","TPT"
82,"Sarcoptiformes","Alloptidae","Alloptes","ciceroniae",NA,"species",0,"Alloptes ciceroniae","TPT"
83,"Sarcoptiformes","Alloptidae","Alloptes","crassipes",NA,"species",0,"Alloptes crassipes","TPT"
84,"Sarcoptiformes","Alloptidae","Alloptes","dolichotrichus",NA,"species",0,"Alloptes dolichotrichus","TPT"
85,"Sarcoptiformes","Alloptidae","Alloptes","eroliae",NA,"species",0,"Alloptes eroliae","TPT"
86,"Sarcoptiformes","Alloptidae","Alloptes","eurytrichus",NA,"species",0,"Alloptes eurytrichus","TPT"
87,"Sarcoptiformes","Alloptidae","Alloptes","fraterculae",NA,"species",0,"Alloptes fraterculae","TPT"
88,"Sarcoptiformes","Alloptidae","Alloptes","gambettae",NA,"species",0,"Alloptes gambettae","TPT"
89,"Sarcoptiformes","Alloptidae","Alloptes","heteractitidis",NA,"species",0,"Alloptes heteractitidis","TPT"
90,"Sarcoptiformes","Alloptidae","Alloptes","limnodromi",NA,"species",0,"Alloptes limnodromi","TPT"
91,"Sarcoptiformes","Alloptidae","Alloptes","mandei",NA,"species",0,"Alloptes mandei","TPT"
92,"Sarcoptiformes","Alloptidae","Alloptes","minor",NA,"species",0,"Alloptes minor","TPT"
93,"Sarcoptiformes","Alloptidae","Alloptes","onychopus",NA,"species",0,"Alloptes onychopus","TPT"
94,"Sarcoptiformes","Alloptidae","Alloptes","phalaropinus",NA,"species",0,"Alloptes phalaropinus","TPT"
95,"Sarcoptiformes","Alloptidae","Alloptes","procerus",NA,"species",0,"Alloptes procerus","TPT"
96,"Sarcoptiformes","Alloptidae","Alloptes","spinipes",NA,"species",0,"Alloptes spinipes","TPT"
97,"Sarcoptiformes","Alloptidae","Alloptes","stercorarii",NA,"species",0,"Alloptes stercorarii","TPT"
98,"Sarcoptiformes","Alloptidae","Alloptes","temnurus",NA,"species",0,"Alloptes temnurus","TPT"
99,"Sarcoptiformes","Alloptidae","Alloptes","tringae",NA,"species",0,"Alloptes tringae","TPT"
100,"Sarcoptiformes","Alloptidae","Alloptes","tubinarii",NA,"species",0,"Alloptes tubinarii","TPT"
101,"Sarcoptiformes","Alloptidae","Alloptes","vanelli",NA,"species",0,"Alloptes vanelli","TPT"
102,"Sarcoptiformes","Alloptidae","Alloptes","xeni",NA,"species",0,"Alloptes xeni","TPT"
104,"Sarcoptiformes","Alloptidae","Alloptes","curtipes",NA,"species",0,"Alloptes curtipes","TPT"
105,"Sarcoptiformes","Alloptidae","Alloptes","orthogramme",NA,"species",0,"Alloptes orthogramme","TPT"
107,"Sarcoptiformes","Alloptidae","Alloptes","aechmorhynchi",NA,"species",0,"Alloptes aechmorhynchi","TPT"
108,"Sarcoptiformes","Alloptidae","Alloptes","arenarii",NA,"species",0,"Alloptes arenarii","TPT"
109,"Sarcoptiformes","Alloptidae","Alloptes","atelesthetus",NA,"species",0,"Alloptes atelesthetus","TPT"
