"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus","dupe_dataset"
"BOTH",2187403,"7ddf754f-d193-4cc9-b351-99906754a03b","2187232",NA,NA,"Neoseiulus ornatus (Athias-Henriot, 1957)","(Athias-Henriot, 1957)","Neoseiulus ornatus","Neoseiulus","ornatus",NA,"species",NA,"Athias-Henriot, C. Typhlodromus ornatus n. sp. et Typhlodromus longilaterus n. sp. (Acarina: Phytoseiidae) mesostigmates predateurs d' Algerie. Revue de Pathologie Vegetale et d’Entomologie Agricole de France, France, 36(4), 215–222. (1957).","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Neoseiulus","GBIF"
"BOTH",2193518,"7ddf754f-d193-4cc9-b351-99906754a03b","2193416",NA,NA,"Galumna monticola (Balakrishnan, 1985)","(Balakrishnan, 1985)","Galumna monticola","Galumna","monticola",NA,"species",NA,NA,"accepted",NA,"Possible variant of Galumna monticola Hammer, 1977","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Galumnidae","Galumna","GBIF"
"BOTH",9247203,"4dd32523-a3a3-43b7-84df-4cda02f15cf7","3240921","5175239",NA,"Acarus geniculatus Johnston, 1849","Johnston, 1849","Acarus geniculatus","Acarus","geniculatus",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Damaeidae","Damaeus","GBIF"
"BOTH",2193565,"7ddf754f-d193-4cc9-b351-99906754a03b","2193416",NA,NA,"Galumna pallida Hammer, 1958","Hammer, 1958","Galumna pallida","Galumna","pallida",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Galumnidae","Galumna","GBIF"
"BOTH",2187290,"7ddf754f-d193-4cc9-b351-99906754a03b","2187232",NA,NA,"Neoseiulus crataegi (Jorgensen & Chant, 1960)","(Jorgensen & Chant, 1960)","Neoseiulus crataegi","Neoseiulus","crataegi",NA,"species",NA,"Jorgensen, C.D. & Chant, D.A. A new species of Typhlodromus (Acarina: Phytoseiidae) from Oregon. Entomological News, Philadelphia, USA, 71(6), 161–163. (1960).","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Neoseiulus","GBIF"
"BOTH",8729622,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2190094",NA,NA,"Scheloribates robustus Mihelcic, 1968","Mihelcic, 1968","Scheloribates robustus","Scheloribates","robustus",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Scheloribates robustus Pletzen, 1963","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Scheloribatidae","Scheloribates","GBIF"
"BOTH",2187395,"7ddf754f-d193-4cc9-b351-99906754a03b","2187232",NA,NA,"Neoseiulus montanus (Wainstein, 1962)","(Wainstein, 1962)","Neoseiulus montanus","Neoseiulus","montanus",NA,"species",NA,"Wainstein, B.A. Some new predatory mites of the family Phytoseiidae (Parasitiformes) of the USSR fauna. Entomologicheskoe Obozrenie, Russia, 41, 230–240 [in Russian]; Entomological Review, Russia, 41, 139–146 [English translation]. (1962).","accepted",NA,"Possible variant of Neoseiulus montanus Tuttle & Muma, 1973","Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Neoseiulus","GBIF"
"BOTH",2198516,"7ddf754f-d193-4cc9-b351-99906754a03b","2198501",NA,NA,"Sphaerozetes subintectus Sellnick, 1931","Sellnick, 1931","Sphaerozetes subintectus","Sphaerozetes","subintectus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Ceratozetidae","Sphaerozetes","GBIF"
"BOTH",6921510,"da957853-f720-404d-b32c-1858a3b0108f","4652687",NA,NA,"Syringophilopsis dendroicae Bochkov & Galloway, 2001","Bochkov & Galloway, 2001","Syringophilopsis dendroicae","Syringophilopsis","dendroicae",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Syringophilopsis dendroicae B GSS, 2010","Animalia","Arthropoda","Arachnida","Trombidiformes","Syringophilidae","Syringophilopsis","GBIF"
"BOTH",10383695,"0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6","4406934",NA,NA,"Pachyseius subhumeralis Mašán, 2018","Mašán, 2018","Pachyseius subhumeralis","Pachyseius","subhumeralis",NA,"species",NA,"Mašán, Peter. 2018. A morphological re-evaluation of Pachyseius humeralis Berlese, 1910 (Acari, Mesostigmata, Pachylaelapidae). ZooKeys 790: 35-44.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Pachylaelapidae","Pachyseius","GBIF"
"BOTH",10152379,"70a21e74-385e-4a34-9c0d-76ea381fd44a","6756879",NA,NA,"Celaeno aegrota Grube, 1859","Grube, 1859","Celaeno aegrota","Celaeno","aegrota",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Parasitidae","Celaeno","GBIF"
"BOTH",10071203,"c8227bb4-4143-443f-8cb2-51f9576aff14","4407722",NA,NA,"Trematurella elegans Trägårdh, 2018","Trägårdh, 2018","Trematurella elegans","Trematurella","elegans",NA,"species",NA,"Bloszyk, Jerzy, Zbigniew Adamski & Agnieszka Napierala. 2018. Survey of European mites from the suborder Uropodina: II. Morphology, geographical distribution, biology, and ecology of Trematurella elegans (Kramer, 1882). Acarologia 58(3): 683-709.","doubtful",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Trematuridae","Trichouropoda","GBIF"
"BOTH",2196535,"7ddf754f-d193-4cc9-b351-99906754a03b","2196531",NA,NA,"Lyroppia delicata Wang & Lu, 1995","Wang & Lu, 1995","Lyroppia delicata","Lyroppia","delicata",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Lyroppiidae","Lyroppia","GBIF"
"BOTH",2188005,"7ddf754f-d193-4cc9-b351-99906754a03b","2188004",NA,NA,"Typhlodromalus aripo De Leon, 1967","De Leon, 1967","Typhlodromalus aripo","Typhlodromalus","aripo",NA,"species",NA,"De Leon, D. Some mites of the Caribbean Area. Part I. Acarina on plants in Trinidad, West Indies. Allen Press Inc., Lawrence, Kansas, USA, pp. 1–66. (1967).","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Typhlodromalus","GBIF"
