"source","taxonID","Dataset","datasetID","genericName","reason"
"GBIF","2195126","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Asperemaeus",NA
"GBIF","2189285","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Papillocepheus",NA
"GBIF","2191497","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Xenolohmannia",NA
"GBIF","2191469","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Torpacarus",NA
"GBIF","2191471","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Torpacarus",NA
"GBIF","2191485","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Paulianacarus",NA
"GBIF","2191492","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Paulianacarus",NA
"GBIF","2190147","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","2190255","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","2190145","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","5174880","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","5174869","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","2190194","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","2190190","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","5174831","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","2190214","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","2192641","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","2190228","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","2192674","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","5174834","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","2190140","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","2190313","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","5174840","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","5174856","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","5174852","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","2190372","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Coronibatula",NA
"GBIF","2190215","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","2190171","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","2190183","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","5174825","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","5174870","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","2190167","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","2190271","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","5174838","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","2190213","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Scheloribates",NA
"GBIF","5174887","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","5174867","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Hermannia",NA
"GBIF","6915441","BOTH","4dd32523-a3a3-43b7-84df-4cda02f15cf7","Epimyodex",NA
"GBIF","4540073","BOTH","0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6","Protzia",NA
"GBIF","9759783","BOTH","6f31cc43-ebda-47d9-8925-baeb959ab570","Brachypodopsis",NA
"GBIF","2180560","BOTH","e7fdd57f-fafa-48c0-a198-904d65ba490e","Kritaturus",NA
"GBIF","4540068","BOTH","90d9e8a6-0ce1-472d-b682-3451095dbc5a","Protzia",NA
"GBIF","6915626","BOTH","05f1d9c0-cb7c-49ad-a0b1-8dbee74a9095","Protzia",NA
"GBIF","9446130","BOTH","81dc4962-b7c7-4d34-a928-50009e4f465b","Brachypodopsis",NA
"GBIF","4540089","BOTH","90d9e8a6-0ce1-472d-b682-3451095dbc5a","Protzia",NA
"GBIF","4540095","BOTH","0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6","Protzia",NA
"GBIF","2187269","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187394","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187318","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187372","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187281","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187345","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187374","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187257","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187527","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187375","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187420","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187324","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187426","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187403","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187404","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187496","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187434","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187463","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","8178513","BOTH","b9147198-df36-4b1b-98e4-300bef282870","Neoseiulus",NA
"GBIF","2188096","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Diaphoroseius",NA
"GBIF","2187398","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187466","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187493","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187360","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187421","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187289","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187498","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","9189302","BOTH","c8227bb4-4143-443f-8cb2-51f9576aff14","Amerozercon",NA
"GBIF","2187243","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187518","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187528","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187459","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187465","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","2187562","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Neoseiulus",NA
"GBIF","8784115","BOTH","c8227bb4-4143-443f-8cb2-51f9576aff14","Symbioribates",NA
"GBIF","2199014","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Demisalto",NA
"GBIF","5175161","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Suctobelba",NA
"GBIF","5175160","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Suctobelba",NA
"GBIF","7349794","BOTH","de8934f4-a136-481c-a87a-b0b202b80a31","Suctobelba",NA
"GBIF","5175163","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Suctobelba",NA
"GBIF","2193175","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Tumerozetes",NA
"GBIF","2199013","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Demisalto",NA
"GBIF","9611965","BOTH","e36b4df2-d40d-4499-9bc1-2ab0f1576e95","Amerodectes",NA
"GBIF","2198507","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Sphaerozetes",NA
"GBIF","9542377","BOTH","e36b4df2-d40d-4499-9bc1-2ab0f1576e95","Amerodectes",NA
"GBIF","7739162","BOTH","2b25e707-3767-4eae-ba81-dc7adaf5babb","Amerodectes",NA
"GBIF","2198511","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Sphaerozetes",NA
"GBIF","4546559","BOTH","90d9e8a6-0ce1-472d-b682-3451095dbc5a","Sphaerozetes",NA
"GBIF","9214135","BOTH","2510711e-d91f-4685-8d30-292eedbc9b41","Amerodectes",NA
"GBIF","2198503","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Sphaerozetes",NA
"GBIF","2198502","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Sphaerozetes",NA
"GBIF","7481047","BOTH","c8227bb4-4143-443f-8cb2-51f9576aff14","Macrogena",NA
"GBIF","8504702","BOTH","4e8d5868-447e-4dd1-a6b8-bd17ff6bad5b","Syringophilopsis",NA
"GBIF","6921531","BOTH","4cec8fef-f129-4966-89b7-4f8439aba058","Syringophilopsis",NA
"GBIF","10339734","BOTH","4cec8fef-f129-4966-89b7-4f8439aba058","Syringophilopsis",NA
"GBIF","7836328","BOTH","d85c6342-4f3a-4dfb-8fbc-63b98215bfda","Syringophilopsis",NA
"GBIF","4541956","BOTH","90d9e8a6-0ce1-472d-b682-3451095dbc5a","Phreatohydracarus",NA
"GBIF","5799853","BOTH","4dd32523-a3a3-43b7-84df-4cda02f15cf7","Syringophilus",NA
"GBIF","7951661","BOTH","da957853-f720-404d-b32c-1858a3b0108f","Syringophilopsis",NA
"GBIF","4541955","BOTH","90d9e8a6-0ce1-472d-b682-3451095dbc5a","Phreatohydracarus",NA
"GBIF","9460388","BOTH","da957853-f720-404d-b32c-1858a3b0108f","Torotrogla",NA
"GBIF","9802286","BOTH","de8934f4-a136-481c-a87a-b0b202b80a31","Bakerdania",NA
"GBIF","5799821","BOTH","afea86b1-c1b9-4707-8972-61fcb1246bf3","Hydrachna",NA
"GBIF","5173874","BOTH","9ca92552-f23a-41a8-a140-01abaa31c931","Hydrachna",NA
"GBIF","5774118","BOTH","de8934f4-a136-481c-a87a-b0b202b80a31","Hydrachna",NA
"GBIF","5774136","BOTH","4dd32523-a3a3-43b7-84df-4cda02f15cf7","Hydrachna",NA
"GBIF","5799811","BOTH","92b8222c-9e7a-4036-bbba-d741bf871912","Hydrachna",NA
"GBIF","6922521","BOTH","90d9e8a6-0ce1-472d-b682-3451095dbc5a","Hydrachna",NA
"GBIF","6922578","BOTH","90d9e8a6-0ce1-472d-b682-3451095dbc5a","Hydrachna",NA
"GBIF","6922516","BOTH","90d9e8a6-0ce1-472d-b682-3451095dbc5a","Hydrachna",NA
"GBIF","6922648","BOTH","90d9e8a6-0ce1-472d-b682-3451095dbc5a","Hydrachna",NA
"GBIF","5173877","BOTH","de8934f4-a136-481c-a87a-b0b202b80a31","Hydrachna",NA
"GBIF","4549937","BOTH","90d9e8a6-0ce1-472d-b682-3451095dbc5a","Paragamasus",NA
"GBIF","9903726","BOTH","4dd32523-a3a3-43b7-84df-4cda02f15cf7","Paragamasus",NA
"GBIF","4549072","BOTH","4dd32523-a3a3-43b7-84df-4cda02f15cf7","Pachyseius",NA
"GBIF","9165699","BOTH","4dd32523-a3a3-43b7-84df-4cda02f15cf7","Pachyseius",NA
"GBIF","2189342","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Xiphobelba",NA
"GBIF","4545753","BOTH","0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6","Cymbaeremaeus",NA
"GBIF","2197782","BOTH","7ddf754f-d193-4cc9-b351-99906754a03b","Borhidia",NA
"GBIF","6923292","BOTH","8d7e0967-6f93-42bd-911b-0314d5ccfb6e","Neolimnochares",NA
"GBIF","4336824","BOTH","2d59e5db-57ad-41ff-97d6-11f5fb264527","Anomalohalacarus",NA
"GBIF","4336955","BOTH","2d59e5db-57ad-41ff-97d6-11f5fb264527","Isobactrus",NA
"GBIF","4338129","BOTH","2d59e5db-57ad-41ff-97d6-11f5fb264527","Actacarus",NA
"GBIF","4338121","BOTH","2d59e5db-57ad-41ff-97d6-11f5fb264527","Actacarus",NA
"GBIF","4336932","BOTH","2d59e5db-57ad-41ff-97d6-11f5fb264527","Isobactrus",NA
"GBIF","4336944","BOTH","2d59e5db-57ad-41ff-97d6-11f5fb264527","Isobactrus",NA
"GBIF","4337090","BOTH","2d59e5db-57ad-41ff-97d6-11f5fb264527","Thallassopthirius",NA
"GBIF","4336946","BOTH","2d59e5db-57ad-41ff-97d6-11f5fb264527","Isobactrus",NA
"GBIF","2180842","BOTH","2d59e5db-57ad-41ff-97d6-11f5fb264527","Actacarus",NA
"GBIF","2180843","BOTH","2d59e5db-57ad-41ff-97d6-11f5fb264527","Actacarus",NA
"GBIF","7691230","BOTH","2d59e5db-57ad-41ff-97d6-11f5fb264527","Isobactrus",NA
