"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
"BOTH",2183468,"7ddf754f-d193-4cc9-b351-99906754a03b","7967293","2184237",NA,"Dermacentor electus Neumann, 1897","Neumann, 1897","Dermacentor electus","Dermacentor","electus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma"
"BOTH",2184168,"7ddf754f-d193-4cc9-b351-99906754a03b","7967293","2184165",NA,"Amblyomma longirostrum Cooper & Robinson, 1908","Cooper & Robinson, 1908","Amblyomma longirostrum","Amblyomma","longirostrum",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma"
"BOTH",5174561,"7ddf754f-d193-4cc9-b351-99906754a03b","7967293","2184322",NA,"Aponomma patagonicum Schulze, 1936","Schulze, 1936","Aponomma patagonicum","Aponomma","patagonicum",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma"
"BOTH",8901363,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183566",NA,"Rhipicephalus sanguineus sanguineus","Lamontellerie, 1960","Rhipicephalus sanguineus sanguineus","Rhipicephalus","sanguineus","sanguineus","subspecies",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",8709313,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183566",NA,"Rhipicephalus sanguineus Rageau, 1951","Rageau, 1951","Rhipicephalus sanguineus","Rhipicephalus","sanguineus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",8348395,"7ddf754f-d193-4cc9-b351-99906754a03b","2184370","2183382",NA,"Dermacentor auratus Anastos, 1950","Anastos, 1950","Dermacentor auratus","Dermacentor","auratus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Dermacentor"
"BOTH",2184286,"7ddf754f-d193-4cc9-b351-99906754a03b","7967293","2184283",NA,"Amblyomma primaculatum Warburton, 1925","Warburton, 1925","Amblyomma primaculatum","Amblyomma","primaculatum",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma"
"BOTH",7429760,"7ddf754f-d193-4cc9-b351-99906754a03b","7967293","2184210",NA,"Amblyomma hebraeum Schoenaers, 1951","Schoenaers, 1951","Amblyomma hebraeum","Amblyomma","hebraeum",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma"
"BOTH",2183322,"7ddf754f-d193-4cc9-b351-99906754a03b","2184365","2183316",NA,"Hyalomma inermis Pomerantsev, Matikashvili & Lototsky, 1940","Pomerantsev, Matikashvili & Lototsky, 1940","Hyalomma inermis","Hyalomma","inermis",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Haemaphysalis"
"BOTH",2182581,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","2182580",NA,"Exopalpiger heroldi Cerny, 1959","Cerny, 1959","Exopalpiger heroldi","Exopalpiger","heroldi",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",8207873,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","5174075",NA,"Ixodes ugandanus Rageau, 1954","Rageau, 1954","Ixodes ugandanus","Ixodes","ugandanus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",2183323,"7ddf754f-d193-4cc9-b351-99906754a03b","2184365","2183316",NA,"Ixodes punctulatus Canestrini & Fanzago, 1878","Canestrini & Fanzago, 1878","Ixodes punctulatus","Ixodes","punctulatus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Haemaphysalis"
"BOTH",6184503,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183657",NA,"Boophilus annulatus microdus Arnold, 1935","Arnold, 1935","Boophilus annulatus microdus","Boophilus","annulatus","microdus","subspecies",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",5174445,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183657",NA,"Ixodes australis Ruotsalainen, 1903","Ruotsalainen, 1903","Ixodes australis","Ixodes","australis",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",2183704,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183657",NA,"Margaropus microphilus Castellani & Chalmers, 1910","Castellani & Chalmers, 1910","Margaropus microphilus","Margaropus","microphilus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",5800750,"de8934f4-a136-481c-a87a-b0b202b80a31","4406659","6887808","5775536","Hypoaspis miles (Berlese, 1882)","(Berlese, 1882)","Hypoaspis miles","Hypoaspis","miles",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Laelapidae","Stratiolaelaps"
"BOTH",4548831,"de8934f4-a136-481c-a87a-b0b202b80a31","4406659","6887808","5775536","Stratiolaelaps miles (Berlese, 1882)","(Berlese, 1882)","Stratiolaelaps miles","Stratiolaelaps","miles",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Laelapidae","Stratiolaelaps"
"BOTH",2183425,"7ddf754f-d193-4cc9-b351-99906754a03b","2184370","2183432",NA,"Ixodes marmoratus Mégnin, 1880","Mégnin, 1880","Ixodes marmoratus","Ixodes","marmoratus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Dermacentor"
"BOTH",2183440,"7ddf754f-d193-4cc9-b351-99906754a03b","2184370","2183432",NA,"Dermacentor reticularis Anderson, 1909","Anderson, 1909","Dermacentor reticularis","Dermacentor","reticularis",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Dermacentor"
