"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus","TPTdataset","TPTID","scientificNameID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","namePublishedInYear","higherClassification","subgenus","verbatimTaxonRank","vernacularName","nomenclaturalCode","reason"
"BOTH","2184547","7ddf754f-d193-4cc9-b351-99906754a03b","2184412",NA,NA,"Carios daviesi Kaiser & Hoogstraal, 1973","Kaiser & Hoogstraal, 1973","Carios daviesi","Carios","daviesi",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Carios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","2184700","7ddf754f-d193-4cc9-b351-99906754a03b","2184412",NA,NA,"Carios confusus Hoogstraal, 1955","Hoogstraal, 1955","Carios confusus","Carios","confusus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Carios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","2184703","7ddf754f-d193-4cc9-b351-99906754a03b","2184412",NA,NA,"Carios dewae Kaiser & Hoogstraal, 1974","Kaiser & Hoogstraal, 1974","Carios dewae","Carios","dewae",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Carios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","2184415","7ddf754f-d193-4cc9-b351-99906754a03b","2184412",NA,NA,"Carios sinensis Jeu & Zhu, 1982","Jeu & Zhu, 1982","Carios sinensis","Carios","sinensis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Carios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","2184517","7ddf754f-d193-4cc9-b351-99906754a03b","2184412",NA,NA,"Carios australiensis Kohls & Hoogstraal, 1962","Kohls & Hoogstraal, 1962","Carios australiensis","Carios","australiensis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Carios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","2184634","7ddf754f-d193-4cc9-b351-99906754a03b","2184412",NA,NA,"Carios cordiformis Hoogstraal & Kohls, 1967","Hoogstraal & Kohls, 1967","Carios cordiformis","Carios","cordiformis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Carios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","2184582","7ddf754f-d193-4cc9-b351-99906754a03b","2184412",NA,NA,"Carios ceylonensis Hoogstraal & Kaiser, 1968","Hoogstraal & Kaiser, 1968","Carios ceylonensis","Carios","ceylonensis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Carios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","2184639","7ddf754f-d193-4cc9-b351-99906754a03b","2184972",NA,NA,"Ornithodoros knoxjonesi Jones & Clifford, 1972","Jones & Clifford, 1972","Ornithodoros knoxjonesi","Ornithodoros","knoxjonesi",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Ornithodoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","2184779","7ddf754f-d193-4cc9-b351-99906754a03b","2184972",NA,NA,"Ornithodoros indica Rau & Rao, 1971","Rau & Rao, 1971","Ornithodoros indica","Ornithodoros","indica",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Ornithodoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","2184810","7ddf754f-d193-4cc9-b351-99906754a03b","2184972",NA,NA,"Ornithodoros macmillani Hoogstraal & Kohls, 1966","Hoogstraal & Kohls, 1966","Ornithodoros macmillani","Ornithodoros","macmillani",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Ornithodoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
