"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","subclass","superorder","order","suborder","infraorder","hyporder","superfamily","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"UMZM",1,NA,NA,NA,NA,NA,NA,NA,NA,"Acari",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subclass",NA,NA,NA,NA,NA,NA,NA,"Acari"
"UMZM",2,NA,NA,NA,NA,NA,NA,NA,NA,"Acariformes",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"superorder",NA,NA,NA,NA,NA,NA,NA,"Acariformes"
"UMZM",3,NA,NA,NA,NA,NA,NA,NA,NA,"Sarcoptiformes Reuter, 1909",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"order",NA,"Reuter, 1909",NA,NA,NA,NA,NA,"Sarcoptiformes"
"UMZM",4,NA,NA,NA,NA,NA,NA,NA,NA,"Knemidokoptidae Dubinin, 1953",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Dubinin, 1953",NA,NA,NA,NA,NA,"Knemidokoptidae"
"UMZM",5,NA,NA,NA,NA,NA,NA,NA,NA,"Apocnemidocoptinae Mironov, Bochkov & Fain, 2005",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Apocnemidocoptinae",NA,NA,NA,NA,NA,NA,"subfamily",NA,"Mironov, Bochkov & Fain, 2005",NA,NA,NA,NA,NA,"Apocnemidocoptinae"
"UMZM",6,NA,NA,NA,NA,NA,NA,NA,NA,"Apocnemidocoptes Lombert, Lukoschus & Fain, 1984",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Apocnemidocoptinae",NA,NA,"Apocnemidocoptes",NA,NA,NA,"genus",NA,"Lombert, Lukoschus & Fain, 1984",NA,NA,NA,NA,NA,"Apocnemidocoptes"
"UMZM",8,NA,NA,NA,NA,NA,NA,NA,NA,"Evansacarinae Fain, 1962",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Evansacarinae",NA,NA,NA,NA,NA,NA,"subfamily",NA,"Fain, 1962",NA,NA,NA,NA,NA,"Evansacarinae"
"UMZM",9,NA,NA,NA,NA,NA,NA,NA,NA,"Evansacarus Fain, 1962",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Evansacarinae",NA,NA,"Evansacarus",NA,NA,NA,"genus",NA,"Fain, 1962",NA,NA,NA,NA,NA,"Evansacarus"
"UMZM",12,NA,NA,NA,NA,NA,NA,NA,NA,"Knemidokoptinae Dubinin, 1953",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Knemidokoptinae",NA,NA,NA,NA,NA,NA,"subfamily",NA,"Dubinin, 1953",NA,NA,NA,NA,NA,"Knemidokoptinae"
"UMZM",13,NA,NA,NA,NA,NA,NA,NA,NA,"Knemidokoptes Fürstenberg, 1870",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Knemidokoptinae",NA,NA,"Knemidokoptes",NA,NA,NA,"genus",NA,"Fürstenberg, 1870",NA,NA,NA,NA,NA,"Knemidokoptes"
"UMZM",19,NA,NA,NA,NA,NA,NA,NA,NA,"Micnemidocoptes Fain, 1974",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Knemidokoptinae",NA,NA,"Micnemidocoptes",NA,NA,NA,"genus",NA,"Fain, 1974",NA,NA,NA,NA,NA,"Micnemidocoptes"
"UMZM",21,NA,NA,NA,NA,NA,NA,NA,NA,"Neocnemidocoptes Fain, 1966",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Knemidokoptinae",NA,NA,"Neocnemidocoptes",NA,NA,NA,"genus",NA,"Fain, 1966",NA,NA,NA,NA,NA,"Neocnemidocoptes"
"UMZM",28,NA,NA,NA,NA,NA,NA,NA,NA,"Picicnemidocoptes Pence, 1972",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Knemidokoptinae",NA,NA,"Picicnemidocoptes",NA,NA,NA,"genus",NA,"Pence, 1972",NA,NA,NA,NA,NA,"Picicnemidocoptes"
