"compared_names","similar_names"
"Knemidokoptidae","Knemidokoptinae"
"Apocnemidocoptes","Neocnemidocoptes"
"Apocnemidocoptes","Procnemidocoptes"
"Alicorhagiida","Alicorhagiidae"
"Alicorhagioidea","Alicorhagiida"
"Alicorhagioidea","Alicorhagiidae"
"Alycoidea","Alycidae"
"Alycoidea","Ascoidea"
"Nematalycina","Nematalycidae"
"Nematalycoidea","Nematalycidae"
"Terpnacarida","Terpnacaridae"
"Oehserchestoidea","Oehserchestidae"
"Terpnacaroidea","Terpnacarida"
"Terpnacaroidea","Terpnacaridae"
"Oribatida","Aribatidae"
"Lemanniellidae","Hermanniellidae"
"Acaroidea","Acaridae"
"Acaroidea","Ameroidea"
"Lardoglyphidae","Gaudoglyphidae"
"Lardoglyphidae","Carpoglyphidae"
"Analgoidea","Analgidae"
"Alloptidae","Alloptinae"
"Sternalloptes","Pteralloptes"
"Dinalloptes","Analloptes"
"Avenzoariidae","Avenzoariinae"
"Zachvatkinia","Zachvatkiniola"
"Cytonyssus","Hyonyssus"
"Cytonyssus","Entonyssus"
"Dermoglyphidae","Aeroglyphidae"
"Nealges","Mesalges"
"Nealges","Cebalges"
"Paralges","Psoralges"
"Epidermoptidae","Epidermoptinae"
"Myialginae","Makialginae"
"Myialges","Mesalges"
"Myialges","Makialges"
"Laminosioptidae","Laminosioptinae"
"Fainocoptinae","Teinocoptinae"
"Colicoptes","Colinoptes"
"Streetacarus","Steatacarus"
"Psoroptoididae","Psoroptoidinae"
"Cygnocoptes","Congocoptes"
"Mesalgoides","Cebalgoides"
"Pteronyssidae","Pteronyssinae"
"Neopteronyssus","Pegopteronyssus"
"Pyroglyphidae","Pyroglyphinae"
"Euroglyphus","Pyroglyphus"
"Rhinoptes","Rhyncoptes"
"Xolalgidae","Xolalginae"
"Dubininia","Dubininiola"
"Glaucalges","Gaudalges"
"Ingrassia","Vingrassia"
"Metingrassia","Tectingrassia"
"Xolalges","Lobalges"
"Canestrinioidea","Canestriniidae"
"Ennodithiana","Eunorithiana"
"Mesophotia","Neophotia"
"Photia","Thopia"
"Sabothiana","Saniothiana"
"Glycyphagoidea","Glycyphagidae"
"Hemisarcoptoidea","Hemisarcoptidae"
"Linobia","Picobia"
"Histiostomatoidea","Histiostomatidae"
"Hypoderatoidea","Hypoderatidae"
"Hypoderatinae","Hypoderatidae"
"Gypsodectes","Hypodectes"
"Picidectes","Alcidectes"
"Pterolichoidea","Pterolichidae"
"Gangolichus","Nanolichus"
"Microchelys","Microcheyla"
"Microchelys","Dicrocheles"
"Spilolichus","Psilolichus"
"Freyanidae","Freyaninae"
"Freyana","Doreyana"
"Sarcoptoidea","Sarcoptidae"
"Alistrophoroides","Olistrophoroides"
"Belistrophoroides","Bilistrophoroides"
"Colistrophoroides","Alistrophoroides"
"Colistrophoroides","Belistrophoroides"
"Colistrophoroides","Bilistrophoroides"
"Colistrophoroides","Crilistrophoroides"
"Colistrophoroides","Eulistrophoroides"
"Colistrophoroides","Olistrophoroides"
"Madlistrophoroides","Paklistrophoroides"
"Madlistrophoroides","Pallistrophoroides"
"Chirodiscidae","Chirodiscinae"
"Adentocarpus","Dentocarpus"
"Afrolabidocarpus","Asiolabidocarpus"
"Afrolabidocarpus","Eurolabidocarpus"
"Alabidocarpus","Olabidocarpus"
"Eulabidocarpus","Alabidocarpus"
"Eulabidocarpus","Eurolabidocarpus"
"Eulabidocarpus","Olabidocarpus"
"Labidocarpus","Alabidocarpus"
"Labidocarpus","Olabidocarpus"
"Gastronyssidae","Gastronyssinae"
"Listrophoridae","Listrophorinae"
"Aeromychirus","Petromychirus"
"Lutracarus","Batracarus"
"Aprolistrophorus","Beprolistrophorus"
"Peturalges","Lemuralges"
"Lobalgidae","Lobalginae"
"Psoroptidae","Psoroptinae"
"Cebalginae","Lobalginae"
"Sarcoptinae","Sarcoptidae"
"Bakeracarus","Batracarus"
"Schizoglyphoidea","Schizoglyphidae"
"Achipterioidea","Achipteriidae"
"Ameridae","Acaridae"
"Ameridae","Ameroidea"
"Ameridae","Aturidae"
"Damaeolidae","Damaeoidea"
"Damaeolidae","Damaeidae"
"Eremulidae","Eremellidae"
"Eremulidae","Eremaeidae"
"Ameronothroidea","Ameronothridae"
"Carabodoidea","Carabodidae"
"Cepheoidea","Cepheidae"
"Anderemaeidae","Arceremaeidae"
"Nosybeidae","Nosybelbidae"
"Ceratozetoidea","Ceratozetidae"
"Cymbaeremaeoidea","Cymbaeremaeidae"
"Eremaeozetoidea","Eremaeozetidae"
"Galumnoidea","Galumnidae"
"Gustavioidea","Gustaviidae"
"Peloppiidae","Hexoppiidae"
"Peloppiidae","Caloppiidae"
"Tenuialidae","Tenuipalpidae"
"Hermannielloidea","Hermanniellidae"
"Licneremaeoidea","Licneremaeidae"
"Limnozetoidea","Limnozetidae"
"Microzetoidea","Microzetidae"
"Neoliodoidea","Neoliodidae"
"Oppioidea","Oppiidae"
"Oribatelloidea","Oribatellidae"
"Oripodoidea","Oripodidae"
"Oripodoidea","Uropodoidea"
"Oribatulidae","Oribatellidae"
"Phenopelopoidea","Phenopelopidae"
"Plateremaeoidea","Plateremaeidae"
"Polypterozetoidea","Polypterozetidae"
"Tectocepheoidea","Tectocepheidae"
"Trizetoidea","Trizetidae"
"Zetorchestoidea","Zetorchestidae"
"Nothrina","Nothridae"
"Crotonioidea","Crotoniidae"
"Trhypochthoniidae","Nehypochthoniidae"
"Trhypochthoniidae","Gehypochthoniidae"
"Trhypochthoniidae","Parhypochthoniidae"
"Atopochthonioidea","Atopochthoniidae"
"Pterochthoniidae","Heterochthoniidae"
"Brachychthonioidea","Brachychthoniidae"
"Heterochthonioidea","Heterochthoniidae"
"Hypochthonioidea","Hypochthoniidae"
"Protoplophoroidea","Protoplophoridae"
"Haplochthoniidae","Hypochthoniidae"
"Collohmannioidea","Collohmanniidae"
"Epilohmannioidea","Epilohmanniidae"
"Epilohmannioidea","Eulohmannioidea"
"Eulohmanniidae","Epilohmanniidae"
"Eulohmanniidae","Eulohmannioidea"
"Euphthiracaroidea","Euphthiracaridae"
"Nehypochthonioidea","Nehypochthoniidae"
"Perlohmannioidea","Perlohmanniidae"
"Phthiracaroidea","Phthiracaridae"
"Acaronychoidea","Acaronychidae"
"Ctenacaroidea","Ctenacaridae"
"Palaeacaroidea","Palaeacaridae"
"Parhypochthonioidea","Parhypochthoniidae"
"Anystina","Anystidae"
"Anystae","Anystidae"
"Adamystoidea","Adamystidae"
"Anystoidea","Anystidae"
"Caeculoidea","Caeculidae"
"Paratydeoidea","Paratydeidae"
